person,car,bus,truck,target_status
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
0,0,0,0,no_target
0,0,0,1,undecided
0,0,1,0,undecided
0,0,1,1,found
0,1,0,0,undecided
0,1,0,1,found
0,1,1,0,found
0,1,1,1,found
1,0,0,0,found
1,0,0,1,found
1,0,1,0,found
1,0,1,1,found
1,1,0,0,found
1,1,0,1,found
1,1,1,0,found
1,1,1,1,found
